FID,Id,width,Distance,Elevation
0,1,8.2542400,809,142.096870099999990
1,1,6.6305699,851,142.329763455000010
2,1,5.1371698,870,142.403841145999990
3,1,12.3823996,911,143.115401918000000
4,1,10.0017996,930,143.287136406000000
5,1,21.0548992,957,143.698863703000000
6,1,17.8834000,1004,143.986131685999990
7,1,14.1561003,1009,144.297320764999990
8,1,6.4118400,1020,144.348498946000010
9,1,2.6090500,1026,144.368474149000010
10,1,2.8064201,1029,144.310970658999990
11,1,11.7166996,1625,208.663225856999990
12,1,12.3768997,1641,208.694997538000000
13,1,8.3606901,1659,208.793092175000000
14,1,1.8707200,1673,208.838912169999990
15,1,12.0117998,1682,208.877182405000010
16,1,8.0471001,1696,208.928762801999990
17,1,6.2008400,1705,208.843513507000010
18,1,5.8745899,1718,208.919013288999990
19,1,7.6740599,1731,209.572303725000010
20,1,5.5623899,1741,209.687493932000000
21,1,2.4393599,1744,209.566944046000000
22,1,2.6457200,1822,224.705951816000010
23,1,2.8061600,1828,224.569240138000000
24,1,2.0916901,1870,227.554150733000000
25,1,2.3142400,1900,227.963865551999990
26,1,2.2836001,2240,255.359178492000010
27,1,3.8366101,2342,257.285520340000010
28,1,4.2848301,2373,257.329795675000010
29,1,5.6899900,2386,257.416068114999970
30,1,4.2271399,2402,257.375705584000000
31,1,4.1539898,2417,257.575690112000020
32,1,1.8519300,2438,257.558049122000000
33,1,4.1095300,2465,257.602454093000010
34,1,3.7417500,2661,259.940637123999980
35,1,2.1331201,2696,260.033823321999990
36,1,5.9664001,2718,260.710514913000000
37,1,7.6339302,2848,261.381728704000010
38,1,6.7416701,2855,261.563773858999980
39,1,6.4944501,2866,261.866673495999980
40,1,10.4610996,2879,262.085914284000010
41,1,6.7210498,2889,262.075763752999990
42,1,10.0760002,2902,262.023673399000020
43,1,8.8940802,2914,262.098017394000010
44,1,8.5325603,3018,262.801534442999980
45,1,10.0379000,3043,262.794671575000000
46,1,8.9000301,3060,262.882066049999990
47,1,14.3950005,3073,262.956315948000000
48,1,11.6780996,3088,262.909806586000000
49,1,4.9414001,3099,263.025407711000010
50,1,3.4716599,3112,263.207848533999990
51,1,7.2463002,3126,263.268289698999980
52,1,11.8856001,3412,266.349037163999980
53,1,9.0502796,3563,267.513189097000010
54,1,6.8025398,3576,267.541441858999970
55,1,5.2118201,3590,267.470106138999990
56,1,7.1241002,3666,268.690125980000000
57,1,10.3322001,3674,268.656900294000020
58,1,13.0721998,3690,278.640991211000030
59,1,19.2147007,3703,278.640991211000030
60,1,20.2367992,3717,278.640991211000030
61,1,15.3414001,3739,278.640991211000030
62,1,15.5226002,3759,278.640991211000030
63,1,20.6462002,3778,278.640991211000030
64,1,13.2319002,3792,278.640991211000030
65,1,17.3276005,3807,278.640991211000030
66,1,2.8936400,1033,144.518896364000000
67,1,4.0079298,1136,163.009659943999990
68,1,3.9467101,1141,162.879636062999990
69,1,3.6825299,1142,162.915773040999990
70,1,1.9547100,1146,162.943175669000000
71,1,1.9546900,1177,171.524787589000000
72,1,2.0057099,1191,169.202494263000010
73,1,10.4376001,1316,193.181015013000010
74,1,10.5179005,1322,193.220446140000010
75,1,8.2698498,1330,193.180812648999990
76,1,8.2871599,1340,193.150888063000000
77,1,8.5666103,1346,193.242310233000010
78,1,10.3368998,1352,193.305591851000000
79,1,6.1969500,1356,193.336955972999990
80,1,3.6522300,1360,193.390262815999990
81,1,2.3156600,1361,193.374707441999990
82,1,2.2484200,1369,193.369167413000010
83,1,2.8342500,1369,193.352907329000000
84,1,2.1773300,1372,193.298126634999990
85,1,2.4798400,1375,193.286650197999990
86,1,2.4827700,1377,193.360818255000000
87,1,2.2560101,1406,193.621915779000010
88,1,2.2714500,1410,193.442325947000000
89,1,2.0075800,1414,193.479006618999990
90,1,2.0075800,1419,193.493458599000010
91,1,2.1663201,1426,193.523109170999990
92,1,2.5120599,1445,196.478642310999990
93,1,2.1709299,1452,195.217043558000000
94,1,2.4559300,1462,196.441352722999990
95,1,3.0395200,1467,196.973943779000000
96,1,2.5449500,1497,199.939943403999990
97,1,2.3575001,1502,201.072362379999990
98,1,2.1773000,1749,209.779695581000000
99,1,2.5396900,1751,209.850438434000010
100,1,3.7863200,1810,223.981720508000000
101,1,4.7450199,1813,224.189307216999990
102,1,5.6170602,1817,224.699728752999990
103,1,7.5152102,1821,224.586631304000010
104,1,4.3589902,1831,224.628874327000010
105,1,2.3154199,1838,224.747706319000000
106,1,2.4344699,1844,225.975558885000000
107,1,2.2483001,1847,225.902805609000010
108,1,2.5562100,1850,226.426300235000010
109,1,5.0607800,1853,226.999320987999990
110,1,3.6409099,1856,227.411945180999990
111,1,2.1337500,1860,227.926451613000010
112,1,2.8733599,1866,227.630507090000010
113,1,5.1119499,1869,227.531202705000000
114,1,2.4798400,1874,227.707945556999990
115,1,2.7389600,1882,229.299850091000000
116,1,2.1917701,1884,228.632146342000000
117,1,2.4273500,1893,228.746247506000000
118,1,2.2046299,1909,229.655345661000010
119,1,3.9986999,1998,239.343996000999990
120,1,4.0018902,2004,239.693274503000000
121,1,4.0788798,2010,240.235732009999990
122,1,3.8320501,2022,241.764105524999990
123,1,1.9041100,2029,242.864333670000010
124,1,1.7533600,2035,244.251763539000000
125,1,2.7807400,2123,242.517854688000000
126,1,2.4216499,2127,241.827570718000000
127,1,2.1715701,2244,255.651123352000010
128,1,3.5845301,2248,256.020358342000010
129,1,1.9953600,2252,256.122913550000020
130,1,1.8962400,2260,256.106261997999980
131,1,4.4640498,2264,256.153090603000010
132,1,6.7455702,2268,256.234120014999970
133,1,7.8095102,2274,256.473986724999970
134,1,4.9537902,2280,256.508871137000030
135,1,4.5603199,2284,256.585847205999980
136,1,2.5784199,2295,256.668419617999970
137,1,5.5234599,2300,256.766475104999980
138,1,4.3610601,2306,256.900093834000020
139,1,5.0787201,2325,257.169499447000020
140,1,5.1785898,2363,257.327523945999990
141,1,7.3013802,2352,257.297062819000020
142,1,6.7049799,2315,257.037264053000000
143,1,3.9849300,2451,257.527491798000030
144,1,2.7403500,2680,259.886437364000020
145,1,4.8216801,2685,259.917612784000030
146,1,5.5784602,2703,260.151806952000020
147,1,9.5603800,2731,260.775871408000000
148,1,5.3452001,2709,260.549119796000010
149,1,6.7994099,2714,260.693963662999980
150,1,8.0566797,2724,260.748133933000020
151,1,4.1149802,2694,259.990141892999990
152,1,4.2409101,2668,260.029778731000020
153,0,12.2157001,981,143.991297171000010
154,0,2.3765299,1035,144.729507557999990
155,0,4.6108599,1041,149.000693910000000
156,0,1.0628200,1049,155.097969080000010
157,0,1.7554300,1055,156.765524844999990
158,0,1.1630400,1061,156.989509923000010
159,0,1.7215199,1068,158.649879126999990
160,0,0.8597280,1071,159.121591693000000
161,0,1.4194601,1076,158.923398754000000
162,0,1.2552100,1079,159.299905373999990
163,0,2.2973599,1085,159.237111615999990
164,0,2.8355200,1088,159.474339361000010
165,0,3.8027401,1093,159.260604121999990
166,0,3.1431799,1096,159.190151885000010
167,0,3.1971900,1102,159.468819932000000
168,0,2.2562399,1121,159.778912378000000
169,0,0.7699610,1110,159.855819446999990
170,0,1.0887400,1123,160.017995458999990
171,0,1.2525800,1129,161.167389641000000
172,0,2.3910100,1133,162.419211988000000
173,0,1.7555900,1234,186.257981617000010
174,0,1.1809900,1253,188.253852674999990
175,0,3.0658400,1269,188.954774183000010
176,0,2.1776199,1279,189.452562777999990
177,0,1.4583900,1285,191.016341315000010
178,0,3.7342501,1382,194.481380435000010
179,0,1.8390700,1307,192.795349390000010
180,0,2.6892200,1400,194.057016613000000
181,0,4.1599998,1433,193.638262666000000
182,0,1.4219700,1463,196.938953348000010
183,0,3.1064701,1468,197.275434805999990
184,0,1.4294699,1473,198.725948262999990
185,0,2.1289101,1489,202.216651775000000
186,0,2.1025100,1510,200.903197947000000
187,0,1.9221700,1516,201.570669613000010
188,0,1.0089400,1518,201.050454230000010
189,0,0.9334870,1520,201.750384926000010
190,0,1.0088100,1523,202.379971022000010
191,0,0.9737970,1527,202.621215224000000
192,0,1.5052500,1534,202.940511133000000
193,0,2.5396800,1539,203.951800064999990
194,0,2.9214399,1544,203.611093364999990
195,0,2.2061000,1548,203.261184198000000
196,0,1.8540500,1550,203.786514447999990
197,0,1.3462501,1553,203.313110986999990
198,0,1.4937100,1555,203.629016924000010
199,0,1.3202699,1559,203.525893819000000
200,0,1.6126601,1560,203.822761589000010
201,0,1.1601501,1565,204.178645347000010
202,0,1.7985899,1567,204.511924861000010
203,0,1.6447901,1570,204.630727396999990
204,0,4.3716502,1573,205.404452479000010
205,0,5.3779402,1576,206.147619252000000
206,0,4.0847402,1581,207.227547155000000
207,0,5.0129299,1600,208.123742859999990
208,0,8.0829897,1604,208.371025677000010
209,0,3.6750500,1773,210.943206151999990
210,0,2.4344800,1777,211.088083856999990
211,0,1.4195200,1784,219.583327137999990
212,0,3.8118601,1796,223.240497201000010
213,0,3.2427800,1802,223.219299011999990
214,0,1.3593900,1804,223.489293559999990
215,0,1.6908500,1808,223.956548787999990
216,0,4.9274101,1726,209.061054371000010
217,0,9.1781397,1724,208.861632813999990
218,0,5.0219302,1877,228.533626751000010
219,0,6.9351802,1987,241.009722920999990
220,0,1.0887400,1997,242.128427832000000
221,0,5.1182098,1968,242.573147779000010
222,0,3.9138200,1990,241.333131736000010
223,0,1.7615600,1995,240.785296727000000
224,0,5.4997802,2059,240.442744420999990
225,0,3.5229101,2066,244.120921705000000
226,0,4.7013302,2074,240.714856838999990
227,0,6.4814000,2099,241.048246406000000
228,0,4.4942999,2116,247.259501242000000
229,0,2.8254700,2120,244.623088967000000
230,0,2.9353600,2193,249.581717470999990
231,0,2.8512299,2199,251.698114463000000
232,0,1.8895100,2205,250.397875760999990
233,0,1.0522400,2210,252.091615692000000
234,0,0.9688080,2218,253.261022348000010
235,0,0.8862440,2226,255.935338201000010
236,0,1.6161200,2238,255.442348802000000
237,0,3.3207901,2289,256.489225287000010
238,0,8.2964201,2331,257.236238445000030
239,0,5.4406600,2485,258.216981965000000
240,0,5.2564602,2491,258.267119713999990
241,0,4.9168000,2500,258.197848823000020
242,0,4.2262502,2504,258.218023857999980
243,0,1.5225600,2507,258.230069456000020
244,0,2.2349801,2510,258.154569496000020
245,0,2.3607500,2512,258.356101683000020
246,0,3.5699501,2520,258.842535156999990
247,0,4.1851001,2479,258.110603673000010
248,0,4.7770901,2472,257.996238829999980
249,0,5.2142901,2546,259.103312512000000
250,0,7.6596298,2556,259.161839788000010
251,0,6.4402499,2559,259.166419379999980
252,0,4.3419499,2563,259.143346156000010
253,0,2.9885299,2565,259.134080915000030
254,0,2.4148901,2569,259.281815112999990
255,0,4.7631698,2575,259.372503929999990
256,0,2.9977901,2577,259.358761225000020
257,0,7.7973099,2584,259.449063841999990
258,0,8.3053703,2592,259.460818585000030
259,0,3.8920400,2527,258.950895589000030
260,0,9.4719696,2601,259.592041978000000
261,0,10.6504002,2607,259.684017649000000
262,0,9.5587797,2612,259.764255994000000
263,0,7.3981900,2617,259.745004779999990
264,0,7.9276700,2621,259.735218981999990
265,0,7.5093598,2626,259.696786809999990
266,0,7.0673399,2628,259.664033696999980
267,0,5.2946200,2631,259.692817800000000
268,0,4.5952001,2638,259.675063507000000
269,0,3.7579899,2642,259.550307237000030
270,0,3.3055601,2645,259.683633018000020
271,0,4.3623300,2650,259.691429966999980
272,0,4.9420800,2654,259.890417793999970
273,0,8.5879402,2660,259.949532707000000
274,0,7.6624999,2749,260.888944541000000
275,0,5.9404302,2742,260.873451464000030
276,0,6.8444300,2738,260.736439303000000
277,0,9.5191002,2756,260.859666473999990
278,0,4.6737900,2675,259.917050689000010
279,0,8.5201702,2765,260.881534712000020
280,0,9.6029301,2771,260.894868347000000
281,0,8.3445396,2779,261.095158904000020
282,0,9.7152100,2785,261.176202674000020
283,0,8.0255404,2794,261.185563173999980
284,0,7.9794598,2806,261.311546674000000
285,0,7.2828202,2826,261.256905766999980
286,0,9.6584501,2834,261.301397856999980
287,0,9.5020199,2936,262.247872957000030
288,0,9.3321600,2924,262.139152910000010
289,0,11.0696001,2946,262.259587672000010
290,0,12.5403004,2975,262.405546908000020
291,0,10.8894997,2991,262.628015627000020
292,0,7.7635598,3003,262.807237094000020
293,0,9.7367697,3130,263.395997254000010
294,0,11.3056002,3154,263.641627936000020
295,0,7.8299298,3179,263.763691231000000
296,0,9.6264400,3196,263.914835760000020
297,0,13.4502001,3213,264.367684108999980
298,0,10.2389002,3227,264.523808869999980
299,0,10.4998999,3241,264.747460346000030
300,0,12.7165003,3249,264.883254609999990
301,0,9.9298096,3259,265.156958488999980
302,0,9.1653299,3272,265.403148252999980
303,0,10.6375999,3286,265.498325438999980
304,0,9.2462997,3306,265.788080192999980
305,0,7.9697900,3322,265.858391621000010
306,0,8.3394098,3339,265.930224070000010
307,0,9.4814701,3349,265.821417651999980
308,0,10.2365999,3356,265.854177670000010
309,0,6.9728599,3362,265.728216815999990
310,0,5.6871099,3367,265.820418452000010
311,0,5.0697699,3374,265.988052106999990
312,0,5.3099198,3379,266.083971727000010
313,0,5.1692100,3382,266.223582722000000
314,0,7.3317499,3388,266.262034110000000
315,0,19.2455006,3429,266.295424790000030
316,0,13.6084003,3500,266.849734099999980
317,0,13.6891003,3486,266.861307144000020
318,0,14.9047003,3461,266.680010919999970
319,0,8.8419800,3515,266.897028386999980
320,0,10.8051996,3528,266.896325134999980
321,0,10.9048996,3542,267.166784764000000
322,0,9.8156900,3551,267.192611154000020
323,0,12.2273998,3651,267.942937015999970
324,0,13.1702995,3614,267.789400043000000
325,0,13.6661997,3636,267.965183029999990
326,0,13.8039999,3598,267.704652158999980
327,0,0.8344400,1258,189.218815447000000
328,0,1.5599900,1265,189.026169519000010
329,0,1.4712900,1282,190.239242881000000
330,0,2.1983299,1290,191.540613709000010
331,0,1.0793900,1293,192.532196292000010
332,0,0.8344400,1299,192.511244594999990
333,0,2.0099399,1302,192.447717215000010
334,0,2.4922800,1312,193.040845458000010
335,0,1.3585700,1218,183.750273445999990
336,0,0.9834740,1209,185.956052953000010
337,0,1.4481500,1250,186.396662915000010
338,0,0.6614600,1256,189.184824184000010
339,0,1.8532701,1289,191.357562933999990
340,0,1.2070500,1295,192.459210853000000
341,0,1.6148300,1246,185.281963133999990
342,0,1.1303000,1238,186.338531362000000
343,0,1.2774900,1230,184.078708648999990
344,0,1.4279000,1226,184.184212585000010
345,0,1.5984900,1217,184.696597335000010
346,0,6.1091099,1385,193.449350656000010
347,0,6.0061798,1391,193.290221828999990
348,0,2.2808399,1780,214.419401668000010
349,0,2.8404300,1788,222.453452183000000
350,0,4.5376301,1800,223.158346671000000
351,0,4.4124899,1762,210.558827599000010
352,0,9.2284899,1976,240.444302647999990
353,0,7.0142798,1981,240.926062696000000
354,0,7.3469701,1983,240.544620095999990
355,0,5.5096102,1961,241.556184688999990
356,0,5.9107299,1952,239.384531869999990
357,0,4.1297598,1995,238.905879623999990
358,0,5.2958102,2056,240.793333098000010
359,0,3.4497499,2050,242.333984157000000
360,0,5.3614998,2061,240.637593170000000
361,0,5.6723800,2077,241.491835552999990
362,0,5.7238202,2082,242.290312430000000
363,0,4.7093902,2088,241.409080925000010
364,0,6.4437199,2094,241.385819964000010
365,0,5.9073901,2104,242.384278212000000
366,0,5.4649501,2110,243.579852729000010
367,0,5.0288301,2113,245.267823233000000
368,0,4.9921598,2146,250.145843840999990
369,0,3.7986400,2154,246.666672502000010
370,0,4.8571100,2162,246.993986691000000
371,0,5.1210799,2169,248.099927425000000
372,0,4.8250299,2172,246.960395510000010
373,0,2.8473499,2176,247.276246902000000
374,0,3.4529200,2179,247.379077502999990
375,0,3.3026600,2183,248.913847597999990
376,0,2.8817201,2188,249.282210402000000
377,0,3.2573099,2195,249.643262580999990
378,0,1.2357100,2213,252.972564274000010
379,0,1.0665700,2221,255.075988638000010
380,0,1.1303000,2231,256.113404718000030
381,0,5.1936202,2532,258.882214974000020
382,0,6.5514598,2536,258.810444647999990
383,0,6.5754499,2542,258.982952348000030